Question,Answer
What are the programs offered by the School of ECCE?,"Programs offered by the School of ECCE include Electronics and Communications Engineering, Computer Engineering, Electrical Power Engineering, and Biomedical and Bioinformatics Engineering."
What is the aim of the School of IDE?,"The School of IDE aims to establish an environment that encourages understanding, curiosity, and inspires creativity to provide innovative and sustainable solutions for global challenges."
What programs are offered by the School of EECE?,"Programs offered by the School of EECE include Chemicals and Petrochemicals Engineering, Energy Resources Engineering, and Environmental Engineering."
What is the main goal of the Faculty of International Business (FIBH)?,"The main goal of FIBH is to create future leaders by providing necessary knowledge, skills, and dispositions, with a focus on ICT, the world economy, and leadership capacities."
What are the tracks offered by FIBH?,"Tracks offered by FIBH include Accounting and Information Technology, Human Resources Management, Investment and Finance, and Marketing and International Business."
What programs are available in the E-JUST Computer Science programs?,"Programs available in the E-JUST Computer Science programs include Computer Science, Artificial Intelligence and Data Science, Computer Networks and Cyber Security, and Bioinformatics."
How are programs selected in the E-JUST Computer Science programs?,Students will select their program at the 5th semester in the E-JUST Computer Science programs.
How does the Art & Design program admission process work?,Students will start the specialized program at the 3rd semester in the Art & Design program.
What is the admission process for the Pharm D program?,"Admission decisions for the Pharm D program are made by the Admission Committee based on students’ performance in an examination of basic knowledge, skills, and other qualities."
How does admission work for the Sustainable Architecture program?,Students will be admitted to the Sustainable Architecture program at the 1st semester.
What programs are available in the Basic And Applied Science department?,"Programs available in the Basic And Applied Science department include Chemistry, Molecular Biology and Biomedical Sciences, Mathematics and Statistics, Applied Physics, and Space Environment and Remote Sensing."
How is the selection process for the Basic And Applied Science department?,"Admission decisions for the Basic And Applied Science department are made by the Admission Committee based on students’ performance in an examination of basic knowledge, skills, and other qualities."
How will E-JUST notify applicants about the 1st Screening?,"E-JUST will send the result to each applicant after documents classification and analysis. The accepted applicants for the 1st screening will receive a notification by email with guidance to take the exam, including schedule, location, and access information."
When will the dates for the 1st Screening be announced?,Dates for the 1st Screening will be announced later through E-JUST website.
Where will the Written Entrance Exams take place?,The Written Entrance Exams will be held at E-JUST campus in Borg Alarab city.
Where can I find more information about entrance exams?,More information about entrance exams can be found at the following link: https://ejust.edu.eg/ug-entrance-exams
How will E-JUST notify applicants about the 2nd Screening?,"E-JUST will notify by email the result to the applicants who passed the entrance exams, inviting them to the personal interview and providing details about the schedule and location."
How will I receive an invitation to the Personal Interview?,The invitation for the Personal Interview will be sent to the accepted applicants from the written entrance exams.
When will the Final Result be announced?,E-JUST will announce the interview result and final decision three days after conducting the interviews by sending an email informing the applicants about their result.
What additional steps are required for successful applicants?,"Successful applicants must submit the original documents to the Admission Section, E-JUST Academic Affairs Office, and pay the tuition fees. Detailed instructions will be provided for successful applicants."
When does the application start for Fall 2023?,"For Fall 2023, the application starts on Sun. May 14 for the First Group and August 8 for the Second Group."
When is the application deadline for Fall 2023?,"For Fall 2023, the application deadline is Sun. August 7 for the First Group and Tue. August 27 for the Second Group."
When are the Admission/Entrance Exams for Fall 2023?,"For Fall 2023, the Admission/Entrance Exams for the First Group are on Mon 14 August and for the Second Group on Tues. August 29."
"When are the interviews, marking, and sending to Student Affairs for Fall 2023?","For Fall 2023, the interviews, marking, and sending to Student Affairs are scheduled for Mon 21 August for the First Group."
"When should official certificates, documents, and tuition fees be submitted for Fall 2023?","For Fall 2023, official certificates, documents, and tuition fees should be submitted by September 21."
When is the orientation for Fall 2023?,"For Fall 2023, the orientation is scheduled for Sun. October 1."
When do classes begin for Fall 2023?,"For Fall 2023, classes begin on Sun. October 1."
What are the sections of the Entrance Exam Structure for the Faculty of Engineering?,"The sections of the Entrance Exam Structure for the Faculty of Engineering include Math I & II, Logical Thinking, Chemistry, Physics, and English language."
Are the Entrance Exams for the Faculty of Engineering mandatory?,"Yes, the Entrance Exams for the Faculty of Engineering are mandatory."
What is the format of the Entrance Exams for the Faculty of Engineering?,All questions in the Entrance Exams for the Faculty of Engineering are in multiple-choice format.
What is the design of the Entrance Exams for the Faculty of Engineering?,The exams do not reflect a specific curriculum but measure the students’ basic knowledge and understanding of relevant concepts.
In what languages are the questions presented in the Entrance Exams for the Faculty of Engineering?,Each exam question in the Entrance Exams for the Faculty of Engineering will be presented in both English and Arabic.
How long is the duration of each subject in the Entrance Exams for the Faculty of Engineering?,Each subject in the Entrance Exams for the Faculty of Engineering will be carried out independently for a one-hour duration.
What is the maximum grade for the Entrance Exams for the Faculty of Engineering?,The maximum grade for the Entrance Exams for the Faculty of Engineering is 100.
What are the additional instructions for the Entrance Exams for the Faculty of Engineering?,"Additional instructions for the Entrance Exams for the Faculty of Engineering include: applicants arriving at the exam hall 30 minutes ahead of the first subject starting time, answering ALL questions to the best of their abilities, using an HB pencil to write legibly and choose answers clearly, not using notes or mobile phones, not leaving the exam room during each exam period, staying till the end of each exam, allowing calculators, facing questions on both the front and back of the exam’s page, each subject contributing 25% of the total marks (400 marks), being provided with an exam paper and answer sheet, exam questions being collected back, not being allowed to enter the exam classroom after half time of the first exam period, and not being allowed to leave the exam before the end time of each exam subject period."
What sections are included in the FIBH Entrance Exam?,"The sections included in the FIBH Entrance Exam are Math I, Logical Thinking, and English Language."
Are the FIBH Entrance Exams mandatory?,"Yes, the FIBH Entrance Exams are mandatory."
What is the format of the FIBH Entrance Exams?,All questions in the FIBH Entrance Exams are in multiple-choice format.
What is the design of the FIBH Entrance Exams?,The exams do not reflect a specific curriculum but measure the students’ basic knowledge and understanding of relevant concepts.
In what languages are the questions presented in the FIBH Entrance Exams?,Each exam question in the FIBH Entrance Exams will be presented in both English and Arabic.
How long is the duration of each subject in the FIBH Entrance Exams?,Each subject in the FIBH Entrance Exams will be carried out independently for a one-hour duration.
What is the maximum grade for the FIBH Entrance Exams?,The maximum grade for the FIBH Entrance Exams is 100.
What are the additional instructions for the FIBH Entrance Exams?,"Additional instructions for the FIBH Entrance Exams include: applicants arriving at the exam hall 30 minutes ahead of the first subject starting time, answering ALL questions to the best of their abilities, using an HB pencil to write legibly and choose answers clearly, not using notes or mobile phones, not leaving the exam room during each exam period, staying till the end of each exam, allowing calculators, facing questions on both the front and back of the exam’s page, each subject contributing 50% of the total marks (200 marks), being provided with an exam paper and answer sheet, exam questions being collected back, not being allowed to enter the exam classroom after half time of the first exam period, and not being allowed to leave the exam before the end time of each exam subject period."
What sections are included in the CSIT Entrance Exam?,"The sections included in the CSIT Entrance Exam are Math, Logical Thinking, Chemistry, Physics, and English language."
Are the CSIT Entrance Exams mandatory?,"Yes, the CSIT Entrance Exams are mandatory."
What is the format of the CSIT Entrance Exams?,All questions in the CSIT Entrance Exams are in multiple-choice format.
What is the design of the CSIT Entrance Exams?,The exams do not reflect a specific curriculum but measure the students’ basic knowledge and understanding of relevant concepts.
In what languages are the questions presented in the CSIT Entrance Exams?,Each exam question in the CSIT Entrance Exams will be presented in both English and Arabic.
How long is the duration of each subject in the CSIT Entrance Exams?,Each subject in the CSIT Entrance Exams will be carried out independently for a one-hour duration.
What is the maximum grade for the CSIT Entrance Exams?,The maximum grade for the CSIT Entrance Exams is 100.
